index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans,
1853,F,single,40.65,0,finance,secondary,3150.16,7291.35,1177.8,
1854,F,married,27.29,2,government,secondary,1152.07,13890.13,851.98,
1855,F,single,28.03,0,medicine,secondary,3901.41,19972.8,1226.78,
1856,F,single,36.01,0,manuf,tertiary,4891.61,30615.81,2467.7,
1857,M,single,35.97,0,finance,secondary,2630.68,18201.15,1046.89,
1858,M,single,19.86,0,manuf,postgrad,11538.29,25640.1,1960.61,
1859,F,married,23.3,2,finance,professional,10831.71,29623.53,7510.88,
1860,M,married,49.41,2,finance,postgrad,8655.99,23625.17,2640.09,
1861,M,single,18.97,0,education,tertiary,6316.49,18966.56,1700.3,
1862,M,married,39,1,finance,secondary,1792.56,16074.35,1727.12,
1863,F,single,45.79,0,education,secondary,2134.36,12559.37,149.98,
1864,F,single,25.07,0,government,tertiary,4885.05,32161.35,1395.34,
1865,M,married,36.67,1,construct,secondary,4885.05,32161.35,1395.34,
1866,F,married,22.36,2,IT,postgrad,14578.71,38816.74,3116.72,
1867,M,married,39.84,2,government,secondary,914.96,19382.01,226.53,
1868,M,married,55.44,2,IT,tertiary,9831.1,20110.43,2788.28,
1869,M,single,27.11,0,education,postgrad,8242.51,40027.29,1715.83,
1870,F,married,21.9,2,education,secondary,1305.54,11994.02,591.12,
1871,F,divorced,27.61,2,legal,professional,15404.15,62600.26,5574.53,
1872,F,married,38.43,0,finance,secondary,2214.94,16489.3,1178.05,
1873,F,married,64.39,2,government,secondary,697.89,10357.74,1171.6,
1874,F,married,27.5,2,government,tertiary,4955.4,23279.49,1434.1,
1875,F,married,34.3,0,manuf,secondary,2651.55,12179.12,248,
1876,M,married,40.91,0,manuf,secondary,3369.87,4918.94,798.02,
1877,F,married,36.46,2,finance,postgrad,13003.99,18383.01,2761.91,
1878,M,married,57.64,2,government,secondary,2506.49,13063.84,506.66,
1879,M,divorced,70.62,2,retired,tertiary,3798.96,15931.72,845.57,
1880,F,single,30.41,0,legal,secondary,3164.21,21728.12,1755.7,
1881,F,single,26.75,0,medicine,secondary,3996.09,19302.23,1611.75,
1882,M,divorced,52.22,1,IT,tertiary,4994.75,12375.06,2776.34,
1883,F,single,32.44,0,medicine,secondary,3359.7,30897.38,1302.68,
1884,F,married,46.64,0,IT,postgrad,8865.6,22354.65,1702.68,
1885,M,single,40.66,0,IT,tertiary,5706,27503.46,2265.82,
1886,M,married,39.81,2,education,tertiary,3604.51,20014.83,1273.82,
1887,M,married,53.73,1,government,secondary,3383.81,3610.09,1093.41,
1888,M,single,27.74,0,manuf,tertiary,3760.82,37346.59,1496.75,
1889,F,divorced,50.55,2,manuf,secondary,2501.08,11964.87,204.19,
1890,M,married,39.98,1,education,secondary,1452.88,12276,727.8,
1891,F,married,37.98,1,education,postgrad,3727.68,25089.45,1773.32,
1892,M,married,20.14,1,construct,tertiary,3727.68,25089.45,1773.32,
1893,F,single,28.26,0,education,tertiary,6256,7924.75,969.09,
1894,M,divorced,55.79,2,IT,tertiary,5772.64,30652.63,2827.15,
1895,M,divorced,42.61,4,finance,tertiary,5666.67,30357.8,1948.21,
1896,F,married,63.78,0,government,postgrad,7998.08,39702.7,2608.73,
1897,M,divorced,45.14,1,IT,postgrad,4712.4,29884.69,3100.08,
1898,F,married,22.05,2,manuf,postgrad,2557.64,8618,2506.97,
1899,F,married,39.36,1,manuf,postgrad,10129.56,25076.62,3882.63,
1900,F,married,40.45,2,government,secondary,4091.85,9692.44,799.69,
1901,M,married,39.41,2,legal,tertiary,7889.52,30702.03,3991.23,
1902,F,married,54.77,2,IT,secondary,1493.46,22616.42,428.45,
1903,F,married,26.49,3,government,tertiary,2038.1,23988.58,503.01,
1904,F,single,27.98,0,finance,secondary,1057.9,6266.3,817.63,
1905,F,married,57.31,2,legal,tertiary,10259.43,29768.45,1138.13,
1906,F,married,21.56,0,medicine,tertiary,8510.9,37944.19,2636.24,
1907,F,married,39.96,1,IT,postgrad,6814.42,40081.78,3003.51,
1908,F,divorced,44.99,0,medicine,postgrad,6876.55,38228.21,2233.2,
1909,F,married,62.35,2,education,postgrad,5824.05,21003.22,3196.21,
1910,M,married,63.54,0,medicine,tertiary,3822.41,32464.48,3033,
1911,F,married,57.42,0,construct,tertiary,3822.41,32464.48,3033,
1912,M,married,49.81,0,legal,secondary,3566.91,20050.14,1895.83,
1913,M,divorced,43.67,0,construct,secondary,3566.91,20050.14,1895.83,
1914,M,single,19.22,0,manuf,tertiary,7877.54,39029.01,1825.82,
1915,F,single,41.44,0,education,secondary,2884.52,11521.92,839.85,
1916,F,single,24.15,0,government,professional,9682.75,28834.05,5565.15,
1917,F,single,39.54,0,IT,postgrad,4650.57,34310.59,3096.82,
1918,F,single,33.78,0,IT,secondary,1735.29,15980.79,1594.32,
1919,M,married,46.59,2,legal,postgrad,6453.44,42298.11,3951.48,
1920,M,widowed,55.03,2,finance,professional,7430.87,30766.52,4893.85,
1921,F,single,29.32,0,IT,secondary,1767.75,15386.17,1242.68,
1922,M,divorced,39.46,2,manuf,secondary,3314.95,13971.86,427.14,
1923,M,married,38.81,3,education,secondary,1870.43,13299.26,807.7,
1924,M,divorced,34.27,1,education,postgrad,3652.72,44205.12,1535.16,
1925,F,married,40.06,2,finance,secondary,1904.58,16616.19,1863.34,
1926,M,single,21.23,0,medicine,postgrad,16268.73,47899.27,3520.61,
1927,F,married,45.17,0,education,secondary,2307.71,11355.51,427.79,
1928,M,single,18.06,0,education,tertiary,4941.75,5924.1,837.14,
1929,F,divorced,32.44,1,education,postgrad,3176.84,24441.24,2186.33,
1930,F,married,22.99,1,education,secondary,1968.96,15006.59,142.79,
1931,M,widowed,72,0,retired,tertiary,4973.47,21604.4,913.82,
1932,M,married,49.51,1,IT,tertiary,5991.54,30503.05,1693.4,
1933,F,married,44.88,1,IT,tertiary,5993.97,22382.23,2402.11,
1934,F,divorced,47.19,2,finance,tertiary,7348.17,37404.82,1973.52,
1935,F,single,41.91,0,construct,tertiary,7348.17,37404.82,1973.52,
1936,F,married,39.98,1,medicine,secondary,3032.62,16095.35,938.16,
1937,M,married,55.3,2,IT,professional,9960.07,35472.64,5537.43,
1938,F,married,37.06,1,IT,secondary,1943.83,12746.43,1949.48,
1939,F,single,34.06,0,construct,secondary,1943.83,12746.43,1949.48,
1940,F,single,18.2,0,finance,secondary,1634.55,13732.96,1587.51,
1941,F,married,25.19,2,medicine,postgrad,12525.02,42467.24,2043.48,
1942,M,married,27,0,finance,secondary,2388.64,13758.6,1067.83,
1943,M,divorced,44.59,2,finance,tertiary,9872.79,10573.6,1955.45,
1944,F,married,49.81,2,IT,secondary,2198.68,17888.5,515.2,
1945,F,divorced,44.43,0,manuf,postgrad,7223.85,39436.75,2597.33,
1946,M,single,33.18,0,government,postgrad,3850.43,21402.48,3252.73,
1947,M,married,43.53,0,education,secondary,2811.26,12325.8,549.54,
1948,M,married,55.89,1,government,tertiary,5972.5,28840.04,934.99,
1949,F,single,29.86,0,finance,tertiary,6627.27,24217.05,2103.59,
1950,F,married,40.56,3,legal,tertiary,2420.5,38886.13,2389.5,
1951,F,married,44.75,1,construct,tertiary,2420.5,38886.13,2389.5,
1952,F,widowed,70.22,2,retired,tertiary,3517.96,14078.82,999.89,
1953,M,married,38.73,1,education,tertiary,3999.15,33324.79,1352.07,
1954,F,widowed,59.76,0,finance,secondary,1665.18,21362.08,472.81,
1955,M,divorced,47.7,0,manuf,tertiary,5209.54,6456.32,2230.51,
1956,F,single,20.01,0,medicine,postgrad,15626.77,39999.99,3577.56,
1957,F,married,42.29,0,education,secondary,1561.34,4851.02,1152.9,
1958,F,single,40.66,0,IT,tertiary,4828.66,26246.31,1991.46,
1959,F,married,29.83,0,legal,tertiary,7299.78,36626.42,3363.26,
1960,M,divorced,41.83,0,IT,secondary,702.93,25313.83,1155.48,
1961,F,married,29.5,2,manuf,tertiary,3634.65,29086.7,1111.58,
1962,F,single,28.26,0,finance,postgrad,8919.94,34520.51,3820.87,
1963,M,single,27.63,0,education,tertiary,3996.57,23001.24,212.09,
1964,F,married,37.06,2,manuf,tertiary,4813.61,21155.8,1481.74,
1965,M,married,39.93,2,construct,secondary,4813.61,21155.8,1481.74,
1966,F,single,34.56,0,IT,secondary,2033.34,14917.3,1141.57,
1967,M,single,43.05,0,IT,tertiary,8036.98,19356.62,2003.75,
1968,F,single,27.07,0,government,secondary,2512.31,10025.03,1243.71,
1969,M,divorced,46.35,3,legal,postgrad,13688.17,53417.43,5719.72,
1970,F,single,27.92,0,legal,secondary,3984.31,28361.13,1081.52,
1971,M,married,47.85,1,government,secondary,1900.06,10521.02,404.7,
1972,M,single,28.02,0,manuf,tertiary,6681.22,27948.18,2174.72,
1973,M,divorced,27.81,2,government,secondary,3332.95,4615.8,722.96,
1974,F,married,57.92,1,IT,professional,9951.07,34387.58,5050.13,
1975,F,divorced,34.92,0,construct,tertiary,9951.07,34387.58,5050.13,
1976,M,single,38.11,0,education,secondary,3233.03,13824.73,558.04,
1977,F,widowed,60.91,2,government,secondary,1473.47,9762.81,618,
1978,M,single,24.69,0,manuf,tertiary,5058.16,21194.56,1838.8,
1979,F,married,38.23,1,government,tertiary,6245.14,25720.66,1637.63,
1980,M,married,31.77,2,legal,secondary,4566.78,23674.7,874.48,
1981,F,divorced,50.42,1,education,tertiary,3222.85,4934.02,1289.78,
1982,F,married,54.58,3,legal,postgrad,9812.87,34692.69,4697.37,
1983,F,married,32.22,2,government,tertiary,4974.17,19689.33,1228.75,
1984,F,single,43.4,0,IT,tertiary,3076.82,23763.58,2751.62,
1985,F,divorced,41.57,2,finance,tertiary,4666.36,11764.27,2047.84,
1986,M,married,39.82,2,education,secondary,1080.6,11416.6,85.87,
1987,M,divorced,45.72,0,IT,postgrad,5439.2,45758.5,2953.31,
1988,F,single,27.47,0,IT,postgrad,9019.62,32133.05,1923.67,
1989,M,married,27.76,0,manuf,secondary,2802.53,7714.77,800.52,
1990,F,married,34.53,1,medicine,tertiary,6267.99,17977.05,2518.18,
1991,M,married,31.46,0,finance,secondary,2023.95,19687.22,690.05,
1992,M,married,22.1,2,education,secondary,1274.48,3772.63,579.9,
1993,M,married,33.97,2,legal,secondary,4048.28,19121.36,2432.52,
1994,M,single,33.8,0,government,postgrad,11420.5,26197,1527.06,
1995,F,married,64.24,0,finance,postgrad,14052.3,29146.58,3099.79,
1996,M,married,43.19,1,medicine,tertiary,6805.77,29820.77,2437.51,
1997,F,single,27.69,0,manuf,tertiary,6649.28,7529.26,671.38,
1998,M,widowed,47.55,3,government,postgrad,7755.68,23219.36,3869.69,
1999,F,single,41.9,0,finance,secondary,2043.42,17341.33,854.33,
2000,F,married,35.45,1,government,tertiary,4738.42,1718.85,2191.48,
2001,M,married,44.88,0,legal,tertiary,6704.75,30013.45,1812.22,
2002,F,married,32.48,3,finance,tertiary,3726.89,32743.34,2015.43,
2003,F,single,19.13,0,education,secondary,1095.59,11442.59,330.13,
2004,F,divorced,50.15,2,education,tertiary,3991.86,20698.28,1070.56,
2005,F,single,35.23,0,IT,postgrad,6194.97,25548.08,4015.53,
2006,F,single,44.66,0,government,postgrad,6143.36,12735.15,3568.09,
2007,F,divorced,58.99,0,manuf,tertiary,5801.35,20000.06,991.16,
2008,M,widowed,53.39,2,legal,professional,5465.46,60566.8,5247.97,
2009,F,single,29.1,0,IT,postgrad,5857.44,19767.44,2493.47,
2010,M,married,63.25,1,manuf,tertiary,3394.58,29043.42,2142.76,
2011,M,married,39.73,2,legal,postgrad,5704.01,57847.53,4500.96,
2012,F,divorced,46.08,2,medicine,secondary,2714.43,29099.13,1514,
2013,F,single,45.27,0,education,secondary,2340.07,17929.81,783.36,
2014,F,divorced,45.16,4,manuf,tertiary,4730.5,19873.32,1211.45,
2015,M,widowed,62.88,1,construct,tertiary,4730.5,19873.32,1211.45,
2016,M,married,44.33,2,medicine,tertiary,8652.32,21092.92,2049.46,
2017,F,married,44.49,2,finance,secondary,1725,13217.1,1112.76,
2018,F,single,27.86,0,manuf,postgrad,6152.57,34343.53,1215.35,
2019,M,married,40,2,manuf,tertiary,5000.97,22000.32,2248.22,
2020,F,single,20.53,0,IT,postgrad,8854.37,29699.34,4821.16,
2021,F,divorced,35.35,1,IT,tertiary,3546.2,12568.85,1986.94,
2022,F,single,21.84,0,education,tertiary,1730.47,37951.9,1447.97,
2023,F,married,30.36,2,medicine,secondary,3453.22,9865.1,1204.11,
2024,M,married,62.37,1,government,secondary,3769.12,17968.3,613.44,
2025,F,married,60.95,1,manuf,tertiary,2957.62,24375.18,564.89,
2026,F,divorced,62.84,0,education,postgrad,5374.62,39282.5,3142.53,
2027,F,married,23.62,3,government,tertiary,3459.04,38107.61,1106.82,
2028,F,single,37.66,0,government,tertiary,2360.1,20027.71,1163.67,
2029,F,married,34.88,2,IT,tertiary,5201.49,20511.36,1768.04,
2030,M,divorced,45.68,1,finance,tertiary,3459.33,32320.73,1920.91,
2031,F,married,60.8,1,education,tertiary,4031.23,7187.76,1459.62,
2032,M,divorced,34.14,0,education,postgrad,5852.42,30192.77,2385.94,
2033,F,single,18.72,0,government,secondary,2102.04,12025.31,472.06,
2034,F,married,39.97,2,finance,tertiary,5761.68,14439.77,669.67,
2035,M,married,46.07,0,education,secondary,1904.43,3784.02,475.37,
2036,F,married,38.61,1,finance,postgrad,7484.25,29301.34,3108.21,
2037,F,married,24.49,1,government,secondary,1766.77,13767.41,852.38,
2038,F,single,28.02,0,education,secondary,2013.75,13968.37,385.45,
2039,M,divorced,54.13,3,IT,tertiary,3711.3,28913,2355.01,
2040,F,married,39.32,2,finance,postgrad,13943.11,30287.28,2597.42,
2041,M,divorced,49.16,3,manuf,postgrad,6967.83,8183.16,3757.47,
2042,M,divorced,45,0,construct,secondary,6967.83,8183.16,3757.47,
2043,M,married,26.31,0,medicine,secondary,767.14,26966.95,1226.49,
2044,M,married,35.89,1,IT,tertiary,5382.01,14915.21,1395.33,
2045,F,married,22.62,4,government,secondary,2940.93,18613.44,702.8,
2046,F,single,37.83,0,education,secondary,2837.83,9615.53,586.27,
2047,F,married,39.7,1,government,tertiary,7787.38,19795.83,1407.11,
2048,F,single,32.52,0,legal,secondary,3232.42,22177.32,1694.33,
2049,M,married,39.53,4,manuf,professional,12539.68,23145.97,6355.88,
2050,F,single,28.69,0,manuf,postgrad,9049.82,7367.16,2662.97,
2051,F,divorced,30.48,2,IT,tertiary,9965.78,37558.97,1419.68,
2052,M,divorced,54.85,0,finance,tertiary,4268.94,12600.72,548.58,
2053,F,single,18.35,0,manuf,postgrad,6525.9,44770.46,2193.53,
2054,F,single,46.33,0,legal,secondary,3241.12,9263.31,2722.03,
2055,F,single,39.12,0,government,tertiary,2723.97,19218.93,1194.39,
2056,M,divorced,43.72,0,finance,secondary,1639.08,17147.86,1272.36,
2057,F,married,57.31,0,finance,secondary,2520.73,18133.75,1201.65,
2058,M,single,29.98,0,medicine,tertiary,10427.3,29687.77,3194.88,
2059,M,divorced,66.4,2,retired,tertiary,3899.66,14084.13,1194.23,
2060,M,married,59.57,1,construct,secondary,3899.66,14084.13,1194.23,
2061,F,married,65.91,4,retired,secondary,646.5,9146.8,928.98,
2062,F,married,40.38,3,manuf,secondary,1538.47,12717.58,800,
2063,F,single,39.66,0,manuf,secondary,4375.06,19053.62,993.54,
2064,F,single,44.4,0,legal,secondary,2997.18,21574.47,1800.36,
2065,F,married,40.05,1,government,postgrad,8992.02,24791.91,1880.58,
2066,M,widowed,60.7,2,IT,secondary,2346.68,15285.2,829.12,
2067,F,single,38.83,0,IT,tertiary,6011.09,11156.49,2368.75,
2068,M,divorced,51.78,1,construct,secondary,6011.09,11156.49,2368.75,
2069,M,married,54.34,2,finance,tertiary,6186.86,24010.02,2222.6,
2070,F,widowed,87.14,2,retired,tertiary,3510.71,15378.68,263.59,
2071,M,widowed,81.08,2,retired,tertiary,3684.44,16773.59,1038.5,
2072,F,married,32.8,0,construct,postgrad,3684.44,16773.59,1038.5,
2073,F,widowed,81.3,2,retired,tertiary,3086.96,10197.38,1386.51,
2074,M,married,60.94,0,finance,tertiary,3661.14,24009.22,1897.2,
2075,F,divorced,39.96,1,medicine,secondary,2980.72,12145.77,1370.94,
2076,F,single,28.28,0,education,secondary,988.56,8865.44,78.81,
2077,F,married,51.13,2,construct,professional,988.56,8865.44,78.81,
2078,F,married,32.04,2,government,professional,8637.09,30002.31,4056.6,
2079,F,divorced,44.98,2,education,tertiary,4139.8,34813.26,987.11,
2080,F,married,69.72,1,retired,secondary,1230.43,8822.73,800.63,
2081,M,single,23.5,0,education,postgrad,5776.15,23715.5,2020.8,
2082,F,single,38.27,0,construct,tertiary,5776.15,23715.5,2020.8,
2083,M,divorced,51.5,2,legal,postgrad,10814.88,51092.33,2486.61,
2084,F,single,43.81,0,education,professional,8002.56,13862.15,3650.11,
2085,F,married,35.84,1,finance,postgrad,9454.04,31753.69,2951.31,
2086,F,married,44.46,1,finance,tertiary,6668.18,23910.99,3072.44,
2087,M,divorced,45.98,0,education,postgrad,7395.73,3229.58,1938.25,
2088,M,divorced,40.42,2,legal,tertiary,8055.09,44860.15,1835.63,
2089,F,married,26.01,0,legal,postgrad,3956.46,61422.29,4010.37,
2090,F,single,44.12,0,government,secondary,2288.1,10070.09,1185.61,
2091,F,single,34.35,0,manuf,secondary,2476.02,6383.65,1001.29,
2092,F,married,38.66,3,construct,tertiary,2476.02,6383.65,1001.29,
2093,F,married,41.35,0,IT,tertiary,4656.03,31016.25,1146.36,
2094,F,married,40.02,1,government,tertiary,5083.25,30185.93,986.46,
2095,M,married,52.63,3,government,secondary,2685.85,15894.26,735.58,
2096,M,divorced,46.21,2,legal,tertiary,2732.63,27822.34,2499.87,
2097,M,married,39.94,1,manuf,secondary,3702.97,11951.66,628.21,
2098,M,married,50.39,2,IT,postgrad,8913.8,37122.25,2316.06,
2099,F,divorced,46.83,2,finance,secondary,1185.14,21346.38,1174.56,
2100,F,married,39.99,2,government,secondary,2390.73,12564.88,640.24,
2101,F,married,21.06,3,education,tertiary,6071.7,30501.38,1033.3,
2102,F,married,29,4,IT,secondary,2526.81,8606.38,1216.05,
2103,M,single,42.55,0,manuf,tertiary,4799.25,19889.99,1445.45,
2104,M,single,26.61,0,government,postgrad,7999.26,37884.94,2082.6,
2105,F,married,68.21,1,retired,tertiary,4494.37,19734.34,999.95,
2106,M,divorced,63.26,1,finance,secondary,1738.29,22255.61,341.37,
2107,M,married,39.45,3,construct,tertiary,1738.29,22255.61,341.37,
2108,M,married,26.08,1,finance,tertiary,4470.66,27132.19,3293.3,
2109,M,divorced,34.9,1,finance,secondary,2302.2,6263.03,1637.35,
2110,F,divorced,67.66,1,retired,tertiary,4935.05,7264.53,1553.03,
2111,F,divorced,41.96,2,manuf,tertiary,4999.94,20411.44,1433.32,
2112,F,single,23.55,0,education,professional,3896.48,50251.73,2916.19,
2113,F,divorced,44.46,2,education,secondary,2660.25,13090.36,599.67,
2114,M,single,28.23,0,education,secondary,2971.97,11808,600.63,
2115,F,divorced,68.72,0,retired,tertiary,3514.43,16291.47,278.96,
2116,M,married,36.3,0,manuf,professional,6294.66,36704.49,3425.57,
2117,M,married,67.36,0,retired,secondary,1409.89,5711.95,794.01,
2118,M,married,33.13,1,education,tertiary,4912.55,26560.92,428.9,
2119,M,married,26.25,0,manuf,secondary,520.41,7908.91,800.11,
2120,F,single,27.9,0,manuf,secondary,2860.04,14895.43,624.08,
2121,F,married,39.7,1,finance,tertiary,5604.65,34789.52,1106.47,
2122,M,married,40.13,2,manuf,tertiary,6897.84,7005.62,1405.96,
2123,M,married,65.42,1,retired,tertiary,3746.48,19887.25,1050.8,
2124,M,single,44.25,0,government,postgrad,8859.96,14583.56,2458.52,
2125,F,divorced,48.47,2,IT,secondary,688.97,10681.25,1231.87,
2126,M,widowed,40.96,1,manuf,tertiary,3647.36,15120.72,2317.03,
2127,F,married,58.14,2,finance,postgrad,4577.06,26880.52,1639.38,
2128,F,married,43.63,3,IT,secondary,1851.49,11769.57,858.07,
2129,M,single,27.98,0,legal,secondary,3171.3,21518.51,1834.05,
2130,F,divorced,32.91,2,government,secondary,2426.74,7193.52,763.7,
2131,F,single,28.19,0,finance,postgrad,7461.43,30031.09,2080.51,
2132,M,married,41.2,3,government,secondary,553.51,17051.27,1109.04,
2133,M,widowed,55.76,2,manuf,secondary,1317.51,12000.02,953.13,
2134,F,single,29.06,0,finance,professional,7072.41,41712.48,4213.24,
2135,F,married,42.14,0,government,secondary,1132.45,6123.56,829.61,
2136,F,married,50.89,2,construct,secondary,1132.45,6123.56,829.61,
2137,M,married,26.86,0,legal,postgrad,7748.21,56723.03,2341.16,
2138,F,married,40.12,1,construct,postgrad,7748.21,56723.03,2341.16,
2139,M,divorced,31.86,0,government,secondary,2927.1,14340.31,816.79,
2140,M,single,22.5,0,manuf,tertiary,6471.03,32963.49,1457.08,
2141,F,married,67.01,3,retired,secondary,1469.22,16938.61,800,
2142,M,married,51.87,2,construct,secondary,1469.22,16938.61,800,
2143,F,widowed,60.12,1,government,postgrad,8965.86,24870.22,3880.74,
2144,M,single,28,0,government,professional,14077.43,32550.68,5618.05,
2145,F,married,20.91,1,manuf,tertiary,5549.17,15259.92,754.65,
2146,M,widowed,41.87,1,government,professional,7693.98,27187.72,4632.98,
2147,F,married,32.61,0,legal,tertiary,4826.48,30002.68,1718.19,
2148,M,single,28.24,0,legal,tertiary,7000.13,14201.53,1006.35,
2149,M,divorced,45.01,2,legal,secondary,2050.49,14485.79,1714.38,
2150,F,married,41.47,0,manuf,tertiary,3923.16,19527.02,1485.01,
2151,M,divorced,47.61,1,education,tertiary,3630.78,19950.63,566.89,
2152,F,single,27.67,0,manuf,postgrad,7137.53,4824.21,2377.45,
2153,M,married,41.88,1,finance,secondary,1330.55,15951.69,1360.62,
2154,M,divorced,45.85,2,government,secondary,2209.93,12983.36,965.85,
2155,M,married,39.99,2,IT,postgrad,13158.07,27812.89,4316.18,
2156,M,widowed,70.35,1,retired,secondary,1530.89,9809.2,749.5,
2157,F,married,25.68,1,government,tertiary,3327.12,9553.88,2348.23,
2158,F,single,40.44,0,manuf,tertiary,4994.53,31263.62,2399.7,
2159,M,single,40.49,0,construct,postgrad,4994.53,31263.62,2399.7,
2160,M,divorced,25.64,1,finance,tertiary,3826.49,24000.33,2000.27,
2161,M,married,21.81,2,IT,postgrad,7133.24,24505.43,2679.24,
2162,M,single,32.19,0,medicine,postgrad,7330.5,49691.08,4226.25,
2163,F,divorced,26.59,0,education,postgrad,6004.75,29399.76,2059.64,
2164,M,single,26.16,0,government,secondary,2219.02,14720.87,1374.57,
2165,F,divorced,33.64,0,government,tertiary,4980.57,19154.49,2424.88,
2166,F,single,20.09,0,finance,professional,17330.87,57395.38,5935.67,
2167,M,married,23.1,0,IT,professional,10776.61,29147.48,5290.11,
2168,M,divorced,44.99,2,manuf,secondary,2048.97,12183.62,543.52,
2169,F,married,42.91,1,finance,secondary,1997.2,18797.04,1984.33,
2170,M,divorced,47.27,2,finance,secondary,1526.5,15459.6,1372.52,
2171,F,married,38.45,0,construct,tertiary,1526.5,15459.6,1372.52,
2172,F,divorced,44.98,1,manuf,professional,10010.02,11928.91,3105.65,
2173,F,single,24.19,0,construct,secondary,10010.02,11928.91,3105.65,
2174,F,divorced,44.99,1,government,secondary,2493.75,4608.72,903.39,
2175,F,single,28.77,0,medicine,secondary,2001.02,9239.07,1884.67,
2176,F,single,22.51,0,legal,tertiary,11833.53,38616.71,2825.67,
2177,F,divorced,71.95,1,retired,secondary,2054.56,13425.62,394.64,
2178,M,single,20.01,0,government,tertiary,3552.57,16997.28,1475.82,
2179,F,single,27.23,0,medicine,tertiary,10012.8,31858.8,2313.96,
2180,F,widowed,71.78,3,retired,professional,2225.21,30614.25,961.78,
2181,M,single,27.14,0,government,tertiary,4144.23,27136.82,2167.71,
2182,F,single,28,0,manuf,tertiary,4996.35,19932.79,1668.33,
2183,M,married,35.45,3,IT,tertiary,6156.12,24890.49,2035.59,
2184,M,married,22.76,0,construct,postgrad,6156.12,24890.49,2035.59,
2185,M,divorced,29.55,3,finance,professional,14156.64,59093.96,3939.75,
2186,F,married,42.2,2,IT,secondary,629.45,24740.44,1480.46,
2187,F,married,51.77,2,manuf,tertiary,4997.2,26060.64,2368.74,
2188,M,widowed,64.1,1,manuf,tertiary,2935.05,16872.53,1376.56,
2189,F,married,39.28,1,government,secondary,2584.86,15371.53,1048.35,
2190,M,single,34.07,0,IT,tertiary,3065.04,33777.61,2694.38,
2191,M,divorced,36.7,2,government,tertiary,5211.26,29528.02,582.21,
2192,M,widowed,57.04,1,education,professional,6719.97,29885.46,701.59,
2193,F,married,42.34,3,medicine,postgrad,11155.9,38389.33,2330.68,
2194,F,single,38.08,0,IT,professional,16573.86,24117.02,2476.88,
2195,F,married,20.33,2,manuf,tertiary,2456.34,23529.3,1413.7,
2196,M,widowed,51.71,1,education,secondary,1559.41,10936.86,228.66,
2197,F,married,46.03,1,construct,secondary,1559.41,10936.86,228.66,
2198,F,single,29.13,0,legal,tertiary,4771.65,31790.91,1663.56,
2199,M,single,27.52,0,finance,postgrad,12681.79,37182.94,2302.94,
2200,F,single,19.84,0,education,tertiary,4765.3,35195.6,1218.23,
2201,M,married,45.46,0,government,professional,10123.2,12575.89,3998.57,
2202,M,single,24.55,0,finance,tertiary,9402.88,10879.45,2444.76,
2203,M,married,21.87,0,medicine,tertiary,5983.2,12949.3,1138.22,
2204,F,divorced,58.75,1,manuf,tertiary,4578.4,10103.36,893.53,
2205,M,divorced,54,0,construct,tertiary,4578.4,10103.36,893.53,
2206,F,single,26.61,0,finance,postgrad,8160.49,17256.59,4169.39,
2207,M,married,26.68,1,legal,postgrad,9822.73,54247.76,2601.97,
2208,M,single,28.4,0,IT,tertiary,9241.48,22890.31,622.34,
2209,M,married,34.5,2,finance,professional,12250.39,48349.86,4542.68,
2210,M,single,37.46,0,legal,postgrad,12628.17,23059.38,3193.57,
2211,M,divorced,41.11,2,medicine,secondary,2559.4,16317.1,1771.51,
2212,M,single,27.85,0,construct,secondary,2559.4,16317.1,1771.51,
2213,M,single,43.22,0,government,tertiary,7192.29,10192.52,1010.02,
2214,M,widowed,60.62,1,education,tertiary,5765.84,21547.39,857.36,
2215,F,single,42.48,0,legal,secondary,2223.93,7342.32,2233,
2216,F,married,38.66,0,finance,tertiary,7404.63,12088.93,2813.38,
2217,F,single,33.57,0,construct,tertiary,7404.63,12088.93,2813.38,
2218,M,single,45.42,0,manuf,secondary,3374.67,10903.15,766.5,
2219,M,married,36.5,3,finance,secondary,2847.18,12603,975.98,
2220,M,divorced,45.82,3,legal,tertiary,6954.37,40308.29,3970.53,
2221,F,married,33.14,0,manuf,tertiary,5140.8,6598.27,859.44,
2222,F,widowed,78.76,2,retired,postgrad,2966.77,28100.1,1207.6,
2223,F,single,28.59,0,manuf,secondary,2459.13,20907.76,601.46,
2224,M,single,26.03,0,education,tertiary,2319.32,18909.02,1445.9,
2225,M,single,28.03,0,manuf,secondary,1696.09,3161.29,654.24,
2226,F,married,45.88,1,government,secondary,2491.66,11977.83,741.6,
2227,F,single,28.63,0,finance,postgrad,8159.91,14523.66,3154.12,
2228,M,married,36.74,0,manuf,tertiary,2055.34,700.52,1173.14,
2229,M,widowed,47.19,0,government,tertiary,2709.23,16724.91,1727.61,
2230,M,divorced,28.43,1,IT,tertiary,4378.72,23803.55,1028.85,
2231,F,married,58.27,2,education,postgrad,5772.45,12559.14,1980.16,
2232,F,married,39.93,2,finance,secondary,2612.56,6795.26,635.77,
2233,F,married,39.4,2,construct,secondary,2612.56,6795.26,635.77,
2234,M,single,27.94,0,finance,postgrad,9040.25,33852.29,1339.66,
